County,FIPS Code,Population 2018,Rank
"Botetourt County, VA",51023,"33,277",1349
"Wasatch County, UT",49051,"33,240",1350
"Bladen County, NC",37017,"33,190",1351
"Morrison County, MN",27097,"33,169",1352
"Daviess County, IN",18027,"33,147",1353
"Rhea County, TN",47143,"33,044",1354
"Titus County, TX",48449,"33,033",1355
"Bureau County, IL",17011,"32,993",1356
"Lawrence County, AL",1079,"32,957",1357
"Lumpkin County, GA",13187,"32,955",1358
"Taos County, NM",35055,"32,835",1359
"Iberville Parish, LA",22047,"32,721",1360
"McCurtain County, OK",40089,"32,703",1361
"Christian County, IL",17021,"32,661",1362
"Logan County, WV",54045,"32,607",1363
"Lafayette County, MO",29107,"32,598",1364
"Geary County, KS",20061,"32,594",1365
"Bee County, TX",48025,"32,587",1366
"Wakulla County, FL",12129,"32,461",1367
"Accomack County, VA",51001,"32,412",1368
"Jackson County, OH",39079,"32,384",1369
"Henry County, TN",47079,"32,358",1370
"Chester County, SC",45023,"32,251",1371
"Clinton County, IN",18023,"32,250",1372
"Jefferson County, IN",18077,"32,208",1373
"Polk County, MO",29167,"32,201",1374
"Montgomery County, KS",20125,"32,120",1375
"Juneau Borough, AK",2110,"32,113",1376
"Randolph County, IL",17157,"32,106",1377
"Greene County, IN",18055,"32,006",1378
"Dorchester County, MD",24019,"31,998",1379
"Pickens County, GA",13227,"31,980",1380
"Pontotoc County, MS",28115,"31,833",1381
"Claiborne County, TN",47025,"31,756",1382
"Stone County, MO",29209,"31,749",1383
"Jefferson County, WA",53031,"31,729",1384
"Amherst County, VA",51009,"31,666",1385
"Coos, NH",33007,"31,589",1386
"Jefferson Davis Parish, LA",22053,"31,582",1387
"Polk County, MN",27119,"31,529",1388
"Adams County, NE",31001,"31,511",1389
"Washington County, ME",23029,"31,490",1390
"Hardin County, OH",39065,"31,480",1391
"Franklin County, AL",1059,"31,363",1392
"Bolivar County, MS",28011,"31,333",1393
"Knox County, KY",21121,"31,304",1394
"Wabash County, IN",18169,"31,280",1395
"Adams County, MS",28001,"31,192",1396
"Marshall County, KY",21157,"31,191",1397
"Ottawa County, OK",40115,"31,175",1398
"Huron County, MI",26063,"31,166",1399
"Kleberg County, TX",48273,"31,129",1400
"Schoharie County, NY",36095,"31,097",1401
"Morton County, ND",38059,"31,095",1402
"Marion County, SC",45067,"31,039",1403
"Summit County, CO",8117,"31,007",1404
"Stark County, ND",38089,"30,997",1405
"Delta County, CO",8029,"30,953",1406
"Gilmer County, GA",13123,"30,816",1407
"Lassen County, CA",6035,"30,802",1408
"Marshall County, WV",54051,"30,785",1409
"Vernon, WI",55123,"30,785",1409
"Muhlenberg County, KY",21177,"30,774",1411
"Caroline County, VA",51033,"30,772",1412
"Clare County, MI",26035,"30,757",1413
"Malheur County, OR",41045,"30,725",1414
"Mecklenburg County, VA",51117,"30,650",1415
"Sanpete County, UT",49039,"30,623",1416
"Williamsburg County, SC",45089,"30,606",1417
"Dillon County, SC",45033,"30,599",1418
"Smyth County, VA",51173,"30,472",1419
"Freeborn County, MN",27047,"30,444",1420
"Caledonia County, VT",50005,"30,302",1421
"Obion County, TN",47131,"30,267",1422
"Lake County, MT",30047,"30,250",1423
"Sheridan County, WY",56033,"30,233",1424
"Elk County, PA",42047,"30,169",1425
"Cass County, TX",48067,"30,119",1426
"Boyle County, KY",21021,"30,100",1427
"Austin County, TX",48015,"29,989",1428
"Gallia County, OH",39053,"29,979",1429
"White County, GA",13311,"29,970",1430
"McDonough County, IL",17109,"29,955",1431
"Franklin County, ME",23007,"29,897",1432
"Wayne County, GA",13305,"29,808",1433
"Lee County, GA",13177,"29,764",1434
"Marion County, AL",1093,"29,763",1435
"Sumter County, GA",13261,"29,733",1436
"Madison County, GA",13195,"29,650",1437
"Haralson County, GA",13143,"29,533",1438
"Cass County, MN",27021,"29,519",1439
"Giles County, TN",47055,"29,503",1440
"Pine County, MN",27115,"29,483",1441
"Trempealeau, WI",55121,"29,442",1442
"Jefferson County, ID",16051,"29,439",1443
"Dunklin County, MO",29069,"29,423",1444
"Park County, WY",56029,"29,324",1445
"Stoddard County, MO",29207,"29,206",1446
"Powhatan County, VA",51145,"29,189",1447
"Garrett County, MD",24023,"29,163",1448
"Neshoba County, MS",28099,"29,125",1449
"Mason County, MI",26105,"29,100",1450
"Hancock County, WV",54029,"29,094",1451
"Custer County, OK",40039,"29,036",1452
"Orange County, VT",50017,"28,999",1453
"Caddo County, OK",40015,"28,977",1454
"Jasper County, SC",45053,"28,971",1455
"Logan County, IL",17107,"28,925",1456
"Leflore County, MS",28083,"28,919",1457
"Palo Pinto County, TX",48363,"28,875",1458
"Randolph County, WV",54083,"28,823",1459
"Tate County, MS",28137,"28,759",1460
"Wythe County, VA",51197,"28,754",1461
"San Jacinto County, TX",48407,"28,719",1462
"Meade County, KY",21163,"28,715",1463
"Ellis County, KS",20051,"28,710",1464
"Jackson County, WV",54035,"28,706",1465
"Fayette County, OH",39047,"28,666",1466
"Jones County, GA",13169,"28,616",1467
"Union County, MS",28145,"28,606",1468
"Montgomery County, IL",17135,"28,601",1469
"Marion County, MO",29127,"28,592",1470
"Marion County, TN",47115,"28,575",1471
"Morgan County, CO",8087,"28,558",1472
"Copiah County, MS",28029,"28,543",1473
"McPherson County, KS",20113,"28,537",1474
"Ripley County, IN",18137,"28,523",1475
"Le Sueur County, MN",27079,"28,494",1476
"Hocking County, OH",39073,"28,385",1477
"Cherokee County, NC",37039,"28,383",1478
"Alpena County, MI",26007,"28,360",1479
"Grimes County, TX",48185,"28,360",1479
"Baker County, FL",12003,"28,355",1481
"Meade County, SD",46093,"28,294",1482
"Scott County, MS",28123,"28,287",1483
"Van Wert County, OH",39161,"28,281",1484
"Yazoo County, MS",28163,"28,248",1485
"Carroll County, AR",5015,"28,223",1486
"Wells County, IN",18179,"28,206",1487
"Montgomery County, KY",21173,"28,203",1488
"Pike County, OH",39131,"28,067",1489
"Glenn County, CA",6021,"28,047",1490
"Carroll County, TN",47017,"28,020",1491
"Codington County, SD",46029,"28,015",1492
"Washington County, IN",18175,"27,943",1493
"Henderson County, TN",47077,"27,847",1494
"Del Norte County, CA",6015,"27,828",1495
"Garvin County, OK",40049,"27,811",1496
"Bradford County, FL",12007,"27,732",1497
"Adams County, OH",39001,"27,724",1498
"Lincoln, WI",55069,"27,689",1499
"Jennings County, IN",18079,"27,611",1500
"Door, WI",55029,"27,610",1501
"Iroquois County, IL",17075,"27,604",1502
"San Miguel County, NM",35047,"27,591",1503
"Monroe County, GA",13207,"27,520",1504
"De Soto Parish, LA",22031,"27,436",1505
"Union County, SC",45087,"27,410",1506
"Grant County, NM",35017,"27,346",1507
"Peach County, GA",13225,"27,297",1508
"Montgomery County, NC",37123,"27,271",1509
"Elmore County, ID",16039,"27,259",1510
"Hardee County, FL",12049,"27,245",1511
"Ashe County, NC",37009,"27,109",1512
"White County, TN",47185,"27,107",1513
"Henry County, OH",39069,"27,086",1514
"Carroll County, OH",39019,"27,081",1515
"Currituck County, NC",37053,"27,072",1516
"Edgefield County, SC",45037,"27,052",1517
"Wyoming County, PA",42131,"27,046",1518
"Carter County, KY",21043,"27,004",1519
"Logan County, KY",21141,"26,989",1520
"Mineral County, WV",54057,"26,940",1521
"Orleans County, VT",50019,"26,907",1522
"Toombs County, GA",13279,"26,887",1523
"Uvalde County, TX",48463,"26,846",1524
"Gillespie County, TX",48171,"26,804",1525
"Decatur County, IN",18031,"26,794",1526
"Tillamook County, OR",41057,"26,787",1527
"Fluvanna County, VA",51065,"26,783",1528
"Simpson County, MS",28127,"26,758",1529
"Russell County, VA",51167,"26,748",1530
"Cibola County, NM",35006,"26,746",1531
"Johnson County, AR",5071,"26,742",1532
"Mason County, WV",54053,"26,718",1533
"Oceana County, MI",26127,"26,625",1534
"Juneau, WI",55057,"26,617",1535
"Decatur County, GA",13087,"26,575",1536
"King George County, VA",51099,"26,575",1536
"Bell County, KY",21013,"26,569",1538
"Woodford County, KY",21239,"26,533",1539
"Wasco County, OR",41065,"26,505",1540
"Union County, OR",41061,"26,461",1541
"Lewis County, NY",36049,"26,447",1542
"West Baton Rouge Parish, LA",22121,"26,427",1543
"Harlan County, KY",21095,"26,409",1544
"Marlboro County, SC",45069,"26,398",1545
"Boone County, IA",19015,"26,346",1546
"Grayson County, KY",21085,"26,321",1547
"Geneva County, AL",1061,"26,314",1548
"Elbert County, CO",8039,"26,282",1549
"Charlevoix County, MI",26029,"26,244",1550
"Upson County, GA",13293,"26,215",1551
"Clay County, IN",18021,"26,170",1552
"Cass County, NE",31025,"26,159",1553
"Montezuma County, CO",8083,"26,158",1554
"Mille Lacs County, MN",27095,"26,139",1555
"Barton County, KS",20009,"26,111",1556
"Hart County, GA",13147,"26,099",1557
"Perry County, KY",21193,"26,092",1558
"Stephens County, GA",13257,"26,035",1559
"Cherokee County, AL",1019,"26,032",1560
"Fannin County, GA",13111,"25,964",1561
"McNairy County, TN",47109,"25,832",1562
"Lauderdale County, TN",47097,"25,825",1563
"Hardin County, TN",47071,"25,776",1564
"Lawrence County, SD",46081,"25,741",1565
"Sunflower County, MS",28133,"25,735",1566
"Routt County, CO",8107,"25,733",1567
"Somerset County, MD",24039,"25,675",1568
"Benton County, IA",19011,"25,642",1569
"Franklin County, KS",20059,"25,631",1570
"Lyon County, MN",27083,"25,629",1571
"Allen Parish, LA",22003,"25,605",1572
"Southampton + Franklin, VA",51949,"25,599",1573
"Texas County, MO",29215,"25,571",1574
"Taylor County, KY",21217,"25,549",1575
"Posey County, IN",18129,"25,540",1576
"Audrain County, MO",29007,"25,473",1577
"St. Francis County, AR",5123,"25,439",1578
"Shelby County, TX",48419,"25,418",1579
"Cheboygan County, MI",26031,"25,413",1580
"Morehouse Parish, LA",22067,"25,398",1581
"Tattnall County, GA",13267,"25,391",1582
"Dickinson County, MI",26043,"25,383",1583
"Fayette County, TX",48149,"25,349",1584
"Adair County, MO",29001,"25,339",1585
"Gladwin County, MI",26051,"25,337",1586
"Miller County, MO",29131,"25,336",1587
"Prentiss County, MS",28117,"25,315",1588
"Lamoille County, VT",50015,"25,300",1589
"Hardeman County, TN",47069,"25,220",1590
"Milam County, TX",48331,"25,131",1591
"Grant County, KY",21081,"25,121",1592
"Brown County, MN",27015,"25,111",1593
"Plymouth County, IA",19149,"25,095",1594
"Dawson County, GA",13085,"25,083",1595
"Teller County, CO",8119,"25,083",1595
"Iosco County, MI",26069,"25,081",1597
"Hickman County, TN",47081,"25,063",1598
"Cleburne County, AR",5023,"24,965",1599
"Jackson County, OK",40065,"24,949",1600
"Bremer County, IA",19017,"24,947",1601
"Washington County, MO",29221,"24,943",1602
"Barbour County, AL",1005,"24,881",1603
"Washington County, FL",12133,"24,880",1604
"Anson County, NC",37007,"24,877",1605
"Randolph County, IN",18135,"24,851",1606
"Nicholas County, WV",54067,"24,842",1607
"Yates County, NY",36123,"24,841",1608
"Chattooga County, GA",13055,"24,790",1609
"Randolph County, MO",29175,"24,763",1610
"Grady County, GA",13131,"24,748",1611
"Marion County, MS",28091,"24,715",1612
"Juniata County, PA",42067,"24,704",1613
"Otsego County, MI",26137,"24,665",1614
"Lincoln County, KY",21137,"24,644",1615
"Rowan County, KY",21205,"24,583",1616
"Todd County, MN",27153,"24,582",1617
"Seminole County, OK",40133,"24,578",1618
"Abbeville County, SC",45001,"24,541",1619
"Manistee County, MI",26101,"24,528",1620
"Churchill County, NV",32001,"24,440",1621
"Upshur County, WV",54097,"24,415",1622
"Pottawatomie County, KS",20149,"24,277",1623
"Macon County, TN",47111,"24,265",1624
"Waushara, WI",55137,"24,263",1625
"George County, MS",28039,"24,250",1626
"Butts County, GA",13035,"24,193",1627
"Jefferson County, OR",41031,"24,192",1628
"White County, IN",18181,"24,133",1629
"Ohio County, KY",21183,"24,087",1630
"Sabine Parish, LA",22085,"24,032",1631
"Jerome County, ID",16053,"24,015",1632
"Union County, GA",13291,"24,001",1633
"Poinsett County, AR",5111,"23,974",1634
"Luna County, NM",35029,"23,963",1635
"Crawford County, MO",29055,"23,957",1636
"Page County, VA",51139,"23,933",1637
"Clarke County, AL",1025,"23,920",1638
"Saline County, IL",17165,"23,906",1639
"Roscommon County, MI",26143,"23,884",1640
"Scott County, IN",18143,"23,878",1641
"Crook County, OR",41013,"23,867",1642
"Cassia County, ID",16031,"23,864",1643
"Aransas County, TX",48007,"23,792",1644
"Mingo County, WV",54059,"23,785",1645
"Iowa, WI",55049,"23,771",1646
"Dawson County, NE",31047,"23,709",1647
"Winston County, AL",1133,"23,660",1648
"Hertford County, NC",37091,"23,659",1649
"Ouachita County, AR",5103,"23,606",1650
"Payette County, ID",16075,"23,551",1651
"Lee County, VA",51105,"23,541",1652
"Columbia County, AR",5027,"23,537",1653
"Limestone County, TX",48293,"23,519",1654
"Itawamba County, MS",28057,"23,517",1655
"Hood River County, OR",41027,"23,428",1656
"Plaquemines Parish, LA",22075,"23,410",1657
"Antrim County, MI",26009,"23,365",1658
"Hampshire County, WV",54027,"23,347",1659
"Osceola County, MI",26133,"23,341",1660
"Goochland County, VA",51075,"23,244",1661
"Houston County, TX",48225,"23,169",1662
"Panola County, TX",48365,"23,148",1663
"Grainger County, TN",47057,"23,145",1664
"Meeker County, MN",27093,"23,141",1665
"Meigs County, OH",39105,"23,106",1666
"Teton County, WY",56039,"23,081",1667
"McDonald County, MO",29119,"23,078",1668
"Fayette County, IN",18041,"23,047",1669
"Franklin County, GA",13119,"23,023",1670
"Sumner County, KS",20191,"22,996",1671
"Menominee County, MI",26109,"22,983",1672
"Hockley County, TX",48219,"22,980",1673
"Prince Edward County, VA",51147,"22,950",1674
"Starke County, IN",18149,"22,935",1675
"Saline County, MO",29195,"22,895",1676
"Ray County, MO",29177,"22,883",1677
"Yankton County, SD",46135,"22,869",1678
"Bandera County, TX",48019,"22,824",1679
"Curry County, OR",41015,"22,813",1680
"Leake County, MS",28079,"22,763",1681
"Franklin County, IN",18047,"22,736",1682
"Randolph County, AL",1111,"22,725",1683
"Caswell County, NC",37033,"22,698",1684
"Martin County, NC",37117,"22,671",1685
"Anderson County, KY",21005,"22,663",1686
"Coahoma County, MS",28027,"22,628",1687
"Emanuel County, GA",13107,"22,612",1688
"Asotin County, WA",53003,"22,610",1689
"Crisp County, GA",13081,"22,601",1690
"Blaine County, ID",16013,"22,601",1690
"Grant Parish, LA",22043,"22,482",1692
"Burke County, GA",13033,"22,423",1693
"Fairfield County, SC",45039,"22,402",1694
"Bibb County, AL",1007,"22,400",1695
"New Kent County, VA",51127,"22,391",1696
"Johnson County, KY",21115,"22,386",1697
"Union Parish, LA",22111,"22,330",1698
"Nodaway County, MO",29147,"22,304",1699
"Assumption Parish, LA",22007,"22,300",1700
"Brooke County, WV",54009,"22,203",1701
"Mitchell County, GA",13205,"22,192",1702
"Washington County, IA",19183,"22,141",1703
"Klickitat County, WA",53039,"22,107",1704
"Adair County, OK",40001,"22,082",1705
"Overton County, TN",47133,"22,068",1706
"Clark County, AR",5019,"22,061",1707
"Scott County, TN",47151,"22,039",1708
"Pacific County, WA",53049,"22,036",1709
"Mahaska County, IA",19123,"22,000",1710
"Tippah County, MS",28139,"21,995",1711
"Boone County, WV",54005,"21,951",1712
"Pointe Coupee Parish, LA",22077,"21,940",1713
"Vilas, WI",55125,"21,938",1714
"Wyandot County, OH",39175,"21,935",1715
"Nobles County, MN",27105,"21,924",1716
"Letcher County, KY",21133,"21,899",1717
"Gray County, TX",48179,"21,895",1718
"Jersey County, IL",17083,"21,847",1719
"Putnam County, GA",13237,"21,809",1720
"Henry County, MO",29083,"21,792",1721
"Seward County, KS",20175,"21,780",1722
"Mercer County, KY",21167,"21,774",1723
"Leelanau County, MI",26089,"21,764",1724
"Madison County, NC",37115,"21,763",1725
"Shelby County, IL",17173,"21,741",1726
"Hempstead County, AR",5057,"21,741",1726
"Logan County, AR",5083,"21,737",1728
"Beckham County, OK",40009,"21,709",1729
"Tyler County, TX",48457,"21,696",1730
"Llano County, TX",48299,"21,646",1731
"Wabasha County, MN",27157,"21,645",1732
"Colusa County, CA",6011,"21,627",1733
"Taylor County, FL",12123,"21,623",1734
"Morgan County, TN",47129,"21,579",1735
"Calhoun County, TX",48057,"21,561",1736
"Sevier County, UT",49041,"21,539",1737
"Yell County, AR",5149,"21,535",1738
"Scott County, VA",51169,"21,534",1739
"McDuffie County, GA",13189,"21,531",1740
"Logan County, CO",8075,"21,528",1741
"Willacy County, TX",48489,"21,515",1742
"Gage County, NE",31067,"21,493",1743
"Moore County, TX",48341,"21,485",1744
"Newton County, MS",28101,"21,443",1745
"Fayette County, IL",17051,"21,416",1746
"Jo Daviess County, IL",17085,"21,366",1747
"Hubbard County, MN",27057,"21,332",1748
"Saunders County, NE",31155,"21,303",1749
"Lampasas County, TX",48281,"21,229",1750
"Buchanan County, VA",51027,"21,221",1751
"Colorado County, TX",48089,"21,217",1752
"Buchanan County, IA",19019,"21,199",1753
"Hutchinson County, TX",48233,"21,198",1754
"Perry County, IL",17145,"21,174",1755
"Allen County, KY",21003,"21,122",1756
"Barnwell County, SC",45011,"21,112",1757
"La Paz County, AZ",4012,"21,098",1758
"Meriwether County, GA",13199,"21,068",1759
"Monroe County, AL",1099,"21,067",1760
"Fillmore County, MN",27045,"21,058",1761
"Grenada County, MS",28043,"21,055",1762
"St. James Parish, LA",22093,"21,037",1763
"Greene County, NC",37079,"21,012",1764
"Ogemaw County, MI",26129,"20,952",1765
"Stutsman County, ND",38093,"20,917",1766
"Gaines County, TX",48165,"20,901",1767
"Conway County, AR",5029,"20,891",1768
"Owen County, IN",18119,"20,845",1769
"Gonzales County, TX",48177,"20,826",1770
"Minidoka County, ID",16067,"20,825",1771
"Dodge County, MN",27039,"20,822",1772
"Wyoming County, WV",54109,"20,786",1773
"Jay County, IN",18075,"20,764",1774
"Jones County, IA",19105,"20,744",1775
"Dodge County, GA",13091,"20,705",1776
"Sullivan County, IN",18153,"20,690",1777
"Washington County, NE",31177,"20,667",1778
"Polk County, NC",37149,"20,611",1779
"Lincoln County, WV",54043,"20,599",1780
"Saluda County, SC",45081,"20,544",1781
"Vernon County, MO",29217,"20,528",1782
"Jackson, WI",55053,"20,478",1783
"Clinton County, MO",29049,"20,470",1784
"Wayne County, KY",21231,"20,468",1785
"Texas County, OK",40139,"20,455",1786
"Taylor, WI",55119,"20,412",1787
"Breckinridge County, KY",21027,"20,388",1788
"Washington County, GA",13303,"20,386",1789
"Kewaunee, WI",55061,"20,383",1790
"Alleghany + Covington, VA",51903,"20,370",1791
"Morgan County, MO",29141,"20,358",1792
"Adams, WI",55001,"20,348",1793
"P. of Wales-Outer Ketchikan + Ketchikan Gateway Borough, AK",2901,"20,340",1794
"Spencer County, IN",18147,"20,327",1795
"Worth County, GA",13321,"20,299",1796
"Uinta County, WY",56041,"20,299",1796
"Wayne County, MS",28153,"20,298",1798
"Carbon County, UT",49007,"20,269",1799
"Woodward County, OK",40153,"20,222",1800
"Richland Parish, LA",22083,"20,192",1801
"DeWitt County, TX",48123,"20,187",1802
"Bourbon County, KY",21017,"20,184",1803
"Franklin Parish, LA",22041,"20,156",1804
"Carroll County, IA",19027,"20,154",1805
"DeKalb County, TN",47041,"20,138",1806
"Carroll County, IN",18015,"20,127",1807
"Lavaca County, TX",48285,"20,110",1808
"Clay County, KY",21051,"20,105",1809
"Fulton County, IN",18049,"20,092",1810
"Dakota County, NE",31043,"20,083",1811
"Henry County, IA",19087,"20,067",1812
"Polk County, AR",5113,"20,049",1813
"Ashley County, AR",5003,"20,046",1814
"Winneshiek County, IA",19191,"20,029",1815
"Chaffee County, CO",8015,"20,027",1816
"Cherokee County, KS",20021,"20,015",1817
"Labette County, KS",20099,"19,964",1818
"Duchesne County, UT",49013,"19,964",1818
"Smith County, TN",47159,"19,942",1820
"Pickens County, AL",1107,"19,938",1821
"Buena Vista County, IA",19021,"19,874",1822
"Jones County, TX",48253,"19,817",1823
"Frio County, TX",48163,"19,816",1824
"McIntosh County, OK",40091,"19,815",1825
"Freestone County, TX",48161,"19,808",1826
"Warren County, NC",37185,"19,807",1827
"Lincoln County, MT",30053,"19,794",1828
"Davison County, SD",46035,"19,790",1829
"Martin County, MN",27091,"19,785",1830
"Greene County, VA",51079,"19,779",1831
"Adams County, WA",53001,"19,759",1832
"Union County, TN",47173,"19,688",1833
"Butler County, AL",1013,"19,680",1834
"Northampton County, NC",37131,"19,676",1835
"Fayette County, IA",19065,"19,660",1836
"Montague County, TX",48337,"19,596",1837
"Concordia Parish, LA",22029,"19,572",1838
"Lincoln County, NM",35027,"19,556",1839
"Orange County, IN",18117,"19,489",1840
"Douglas County, IL",17041,"19,479",1841
"Holmes County, FL",12059,"19,477",1842
"Tishomingo County, MS",28141,"19,454",1843
"Lincoln County, WY",56023,"19,434",1844
"Jackson County, IA",19097,"19,432",1845
"Marion County, KY",21155,"19,404",1846
"Pierce County, GA",13229,"19,389",1847
"Clay County, MS",28025,"19,386",1848
"Kent County, MD",24029,"19,383",1849
"Hampton County, SC",45049,"19,351",1850
"East Feliciana Parish, LA",22037,"19,305",1851
"Benton County, MO",29015,"19,278",1852
"Langlade, WI",55067,"19,268",1853
"Berrien County, GA",13019,"19,252",1854
"Adair County, KY",21001,"19,215",1855
"Perry County, MO",29157,"19,150",1856
"Elbert County, GA",13105,"19,120",1857
"Perry County, IN",18123,"19,102",1858
"Los Alamos County, NM",35028,"19,101",1859
"Marengo County, AL",1091,"19,066",1860
"Bertie County, NC",37015,"19,026",1861
"Lamar County, GA",13171,"19,000",1862
"Long County, GA",13183,"18,998",1863
"Banks County, GA",13011,"18,988",1864
"Jefferson County, KS",20087,"18,975",1865
"Green Lake, WI",55047,"18,918",1866
"Hart County, KY",21099,"18,906",1867
"Brantley County, GA",13025,"18,897",1868
"Beadle County, SD",46005,"18,883",1869
"Morgan County, GA",13211,"18,853",1870
"Covington County, MS",28031,"18,853",1870
"Crawford County, IL",17033,"18,807",1872
"Plumas County, CA",6063,"18,804",1873
"Spencer County, KY",21215,"18,794",1874
"Harrison County, KY",21097,"18,778",1875
"Paulding County, OH",39125,"18,760",1876
"Deaf Smith County, TX",48117,"18,760",1876
"Roosevelt County, NM",35041,"18,743",1878
"Dickinson County, KS",20041,"18,717",1879
"Stone County, MS",28131,"18,717",1879
"Poweshiek County, IA",19157,"18,699",1881
"Waseca County, MN",27161,"18,691",1882
"Bosque County, TX",48035,"18,691",1882
"Pike County, GA",13231,"18,634",1884
"Cedar County, IA",19031,"18,627",1885
"Houston County, MN",27055,"18,578",1886
"Park County, CO",8093,"18,556",1887
"Madison County, FL",12079,"18,529",1888
"Simpson County, KY",21213,"18,529",1888
"Appling County, GA",13001,"18,507",1890
"Pike County, MO",29163,"18,504",1891
"Humphreys County, TN",47085,"18,486",1892
"Macon County, AL",1087,"18,439",1893
"Otero County, CO",8089,"18,432",1894
"Burleson County, TX",48051,"18,389",1895
"Jefferson County, IA",19101,"18,381",1896
"Wright County, MO",29229,"18,378",1897
"Attala County, MS",28007,"18,365",1898
"Drew County, AR",5043,"18,328",1899
"Eastland County, TX",48133,"18,322",1900
"Gilchrist County, FL",12041,"18,256",1901
"Montour County, PA",42093,"18,240",1902
"McDowell County, WV",54047,"18,223",1903
"Fentress County, TN",47049,"18,217",1904
"Bethel Borough, AK",2050,"18,216",1905
"Grant County, AR",5053,"18,188",1906
"Winston County, MS",28159,"18,165",1907
"Andrews County, TX",48003,"18,128",1908
"Young County, TX",48503,"18,045",1909
"Phillips County, AR",5107,"18,029",1910
"Inyo County, CA",6027,"17,987",1911
"Pitkin County, CO",8097,"17,950",1912
"Randolph County, AR",5121,"17,948",1913
"Schuyler County, NY",36097,"17,912",1914
"Yancey County, NC",37199,"17,903",1915
"Ste. Genevieve County, MO",29186,"17,888",1916
"Hancock County, IL",17067,"17,844",1917
"Westmoreland County, VA",51193,"17,830",1918
"Kalkaska County, MI",26079,"17,824",1919
"Russell County, KY",21207,"17,821",1920
"Franklin County, AR",5047,"17,810",1921
"Morgan County, WV",54065,"17,787",1922
"Johnson County, TN",47091,"17,778",1923
"Arkansas County, AR",5001,"17,769",1924
"Unicoi County, TN",47171,"17,761",1925
"Benzie County, MI",26019,"17,753",1926
"Greene County, GA",13133,"17,698",1927
"Patrick County, VA",51141,"17,673",1928
"Hughes County, SD",46065,"17,650",1929
"Gem County, ID",16045,"17,634",1930
"Holmes County, MS",28051,"17,622",1931
"Andrew County, MO",29003,"17,607",1932
"Cooper County, MO",29053,"17,603",1933
"Garrard County, KY",21079,"17,560",1934
"Clayton County, IA",19043,"17,556",1935
"Avery County, NC",37011,"17,505",1936
"Mariposa County, CA",6043,"17,471",1937
"McCreary County, KY",21147,"17,408",1938
"Richland, WI",55103,"17,377",1939
"Sharp County, AR",5135,"17,366",1940
"Edgar County, IL",17045,"17,360",1941
"Dukes County, MA",25007,"17,352",1942
"Haywood County, TN",47075,"17,335",1943
"Falls County, TX",48145,"17,335",1943
"Seward County, NE",31159,"17,318",1945
"New Madrid County, MO",29143,"17,296",1946
"Robertson County, TX",48395,"17,284",1947
"Chester County, TN",47023,"17,276",1948
"Leon County, TX",48289,"17,270",1949
"Gunnison County, CO",8051,"17,246",1950
"Henry County, AL",1067,"17,209",1951
"Chickasaw County, MS",28017,"17,171",1952
"Cook County, GA",13075,"17,162",1953
"Crawford County, IA",19047,"17,158",1954
"Dickinson County, IA",19059,"17,153",1955
"Mason County, KY",21161,"17,150",1956
"Lee County, TX",48287,"17,144",1957
"Lee County, SC",45061,"17,142",1958
"Sevier County, AR",5133,"17,139",1959
"San Juan County, WA",53055,"17,128",1960
"Delaware County, IA",19055,"17,069",1961
"Warren County, IL",17187,"17,032",1962
"Buckingham County, VA",51029,"16,999",1963
"King William County, VA",51101,"16,939",1964
"Parke County, IN",18121,"16,927",1965
"Tama County, IA",19171,"16,904",1966
"Polk County, TN",47139,"16,898",1967
"Hardin County, IA",19083,"16,868",1968
"Rabun County, GA",13241,"16,867",1969
"Scurry County, TX",48415,"16,866",1970
"Taylor County, WV",54091,"16,862",1971
"Giles County, VA",51071,"16,844",1972
"Union County, IL",17181,"16,841",1973
"Jackson County, AR",5067,"16,811",1974
"Marshall County, OK",40095,"16,806",1975
"Piscataquis County, ME",23021,"16,800",1976
"Ben Hill County, GA",13017,"16,787",1977
"Humboldt County, NV",32013,"16,786",1978
"Dallas County, MO",29059,"16,762",1979
"Rockcastle County, KY",21203,"16,750",1980
"Greensville + Emporia, VA",51923,"16,748",1981
"Park County, MT",30067,"16,736",1982
"Socorro County, NM",35053,"16,735",1983
"Marion County, AR",5089,"16,722",1984
"Dixie County, FL",12029,"16,700",1985
"Alamosa County, CO",8003,"16,683",1986
"Cross County, AR",5037,"16,676",1987
"Lafayette, WI",55065,"16,665",1988
"Rush County, IN",18139,"16,663",1989
"Bond County, IL",17005,"16,630",1990
"Potter County, PA",42105,"16,622",1991
"Van Buren County, AR",5141,"16,603",1992
"Wayne County, TN",47181,"16,558",1993
"Barbour County, WV",54001,"16,535",1994
"Idaho County, ID",16049,"16,513",1995
"Sawyer, WI",55113,"16,489",1996
"Madison County, AR",5087,"16,481",1997
"Lawrence County, AR",5075,"16,434",1998
"Fayette County, AL",1057,"16,433",1999
"Jasper County, MS",28061,"16,428",2000
"Piatt County, IL",17147,"16,396",2001
"Pawnee County, OK",40117,"16,390",2002
"Brunswick County, VA",51025,"16,384",2003
"Washington County, AL",1129,"16,378",2004
"Fountain County, IN",18045,"16,351",2005
"Hill County, MT",30041,"16,347",2006
"Wayne County, IL",17191,"16,332",2007
"Bates County, MO",29013,"16,320",2008
"Crawford, WI",55023,"16,291",2009
"Pemiscot County, MO",29155,"16,272",2010
"Madison County, IA",19121,"16,249",2011
"Richland County, ND",38077,"16,239",2012
