County,FIPS Code,Population 2018,Rank
"Cumberland County, PA",42041,"251,423",275
"Clay County, MO",29047,"246,365",276
"Norfolk Independent City, VA",51710,"244,076",277
"Caddo Parish, LA",22017,"242,922",278
"Lafayette Parish, LA",22055,"242,782",279
"Chesapeake Independent City, VA",51550,"242,634",280
"Arlington County, VA",51013,"237,521",281
"Hinds County, MS",28049,"237,085",282
"Washington County, AR",5143,"236,961",283
"Forsyth County, GA",13117,"236,612",284
"Union County, NC",37179,"235,908",285
"New Hanover County, NC",37129,"232,274",286
"Warren County, OH",39165,"232,173",287
"Yavapai County, AZ",4025,"231,993",288
"Williamson County, TN",47187,"231,729",289
"Butte County, CA",6007,"231,256",290
"Lake County, OH",39085,"230,514",291
"Smith County, TX",48423,"230,221",292
"Henry County, GA",13151,"230,220",293
"Saratoga County, NY",36091,"230,163",294
"Mahoning County, OH",39099,"229,642",295
"Oneida County, NY",36065,"229,577",296
"Sussex County, DE",10005,"229,286",297
"Richmond Independent City, VA",51760,"228,783",298
"Brazos County, TX",48041,"226,758",299
"Linn County, IA",19113,"225,909",300
"Montgomery County, AL",1101,"225,763",301
"Whatcom County, WA",53073,"225,685",302
"Jefferson County, MO",29099,"224,347",303
"Canyon County, ID",16027,"223,499",304
"Gaston County, NC",37071,"222,846",305
"Hays County, TX",48209,"222,631",306
"Berkeley County, SC",45015,"221,091",307
"Yolo County, CA",6113,"220,408",308
"Jackson County, OR",41029,"219,564",309
"Baldwin County, AL",1003,"218,022",310
"Dona Ana County, NM",35013,"217,522",311
"Clay County, FL",12019,"216,072",312
"Shelby County, AL",1117,"215,707",313
"Barnstable County, MA",25001,"213,413",314
"Yuma County, AZ",4027,"212,128",315
"Cabarrus County, NC",37025,"211,342",316
"Lackawanna County, PA",42069,"210,793",317
"Niagara County, NY",36063,"210,433",318
"Champaign County, IL",17019,"209,983",319
"Mohave County, AZ",4015,"209,550",320
"Tuscaloosa County, AL",1125,"208,911",321
"Washington County, PA",42125,"207,346",322
"Okaloosa County, FL",12091,"207,269",323
"Harrison County, MS",28047,"206,650",324
"York County, ME",23031,"206,229",325
"Montgomery County, TN",47125,"205,950",326
"Elkhart County, IN",18039,"205,560",327
"Clermont County, OH",39025,"205,466",328
"Delaware County, OH",39041,"204,826",329
"Calcasieu Parish, LA",22019,"203,112",330
"Johnston County, NC",37101,"202,675",331
"Hall County, GA",13139,"202,148",332
"Benton County, WA",53005,"201,877",333
"Richmond County, GA",13245,"201,554",334
"Hawaii County, HI",15001,"200,983",335
"Anderson County, SC",45007,"200,482",336
"St. Louis County, MN",27137,"199,754",337
"Trumbull County, OH",39155,"198,627",338
"Onslow County, NC",37133,"197,683",339
"Racine, WI",55101,"196,584",340
"Sangamon County, IL",17167,"195,348",341
"Muscogee County, GA",13215,"194,160",342
"Tippecanoe County, IN",18157,"193,048",343
"Minnehaha County, SD",46099,"192,876",344
"Deschutes County, OR",41017,"191,996",345
"Broome County, NY",36007,"191,659",346
"Livingston County, MI",26093,"191,224",347
"Hernando County, FL",12053,"190,865",348
"Saginaw County, MI",26145,"190,800",349
"El Dorado County, CA",6017,"190,678",350
"Beaufort County, SC",45013,"188,715",351
"Butler County, PA",42019,"187,888",352
"Outagamie, WI",55087,"187,365",353
"Sumner County, TN",47165,"187,149",354
"Bay County, FL",12005,"185,287",355
"Charlotte County, FL",12015,"184,998",356
"Sarpy County, NE",31153,"184,459",357
"DeSoto County, MS",28033,"182,001",358
"Imperial County, CA",6025,"181,827",359
"Cass County, ND",38017,"181,516",360
"Litchfield County, CT",9005,"181,111",361
"Vanderburgh County, IN",18163,"180,974",362
"Peoria County, IL",17143,"180,621",363
"Kanawha County, WV",54039,"180,454",364
"Shasta County, CA",6089,"180,040",365
"Boone County, MO",29019,"180,005",366
"Pitt County, NC",37147,"179,914",367
"Ellis County, TX",48139,"179,436",368
"Santa Rosa County, FL",12113,"179,349",369
"Medina County, OH",39103,"179,146",370
"Newport News Independent City, VA",51700,"178,626",371
"Ulster County, NY",36111,"178,599",372
"Kent County, DE",10001,"178,550",373
"Iredell County, NC",37097,"178,435",374
"Shawnee County, KS",20177,"177,499",375
"Licking County, OH",39089,"175,769",376
"Muskegon County, MI",26121,"173,588",377
"Scott County, IA",19163,"173,283",378
"McLean County, IL",17113,"172,828",379
"Midland County, TX",48329,"172,578",380
"Washington County, UT",49053,"171,700",381
"Johnson County, TX",48251,"171,361",382
"Winnebago, WI",55139,"171,020",383
"Porter County, IN",18127,"169,594",384
"Monroe County, PA",42089,"169,507",385
"Aiken County, SC",45003,"169,401",386
"Kenosha, WI",55059,"169,290",387
"Carroll County, MD",24013,"168,429",388
"Greene County, OH",39057,"167,995",389
"Pueblo County, CO",8101,"167,529",390
"Kalawao + Maui County, HI",15901,"167,295",391
"Hendricks County, IN",18063,"167,009",392
"Davidson County, NC",37057,"166,614",393
"Alamance County, NC",37001,"166,436",394
"Kenton County, KY",21117,"166,051",395
"Wyandotte County, KS",20209,"165,324",396
"Beaver County, PA",42007,"164,742",397
"Chittenden County, VT",50007,"164,572",398
"Paulding County, GA",13223,"164,044",399
"Lee County, AL",1081,"163,941",400
"Kent County, RI",44003,"163,861",401
"Guadalupe County, TX",48187,"163,694",402
"Spotsylvania + Fredericksburg, VA",51951,"163,382",403
"Rock, WI",55105,"163,129",404
"Portage County, OH",39133,"162,927",405
"Centre County, PA",42027,"162,805",406
"Middlesex County, CT",9007,"162,682",407
"Ector County, TX",48135,"162,124",408
"Kootenai County, ID",16055,"161,505",409
"Charles County, MD",24017,"161,503",410
"Hampshire County, MA",25015,"161,355",411
"Martin County, FL",12085,"160,912",412
"Dorchester County, SC",45035,"160,647",413
"Alexandria Independent City, VA",51510,"160,530",414
"Yellowstone County, MT",30111,"160,137",415
"Rensselaer County, NY",36083,"159,442",416
"St. Clair County, MI",26147,"159,337",417
"Stearns County, MN",27145,"159,256",418
"Jackson County, MI",26075,"158,823",419
"Catawba County, NC",37035,"158,652",420
"Madera County, CA",6039,"157,672",421
"Sullivan County, TN",47163,"157,668",422
"Indian River County, FL",12061,"157,413",423
"Albemarle + Charlottesville, VA",51901,"156,835",424
"Olmsted County, MN",27109,"156,277",425
"Johnson County, IN",18081,"156,225",426
"Fairfield County, OH",39045,"155,782",427
"Houston County, GA",13153,"155,469",428
"Schenectady County, NY",36093,"155,350",429
"Franklin County, PA",42055,"154,835",430
"Ouachita Parish, LA",22073,"154,475",431
"Columbia County, GA",13073,"154,291",432
"Berrien County, MI",26021,"154,141",433
"Rankin County, MS",28121,"153,902",434
"Mesa County, CO",8077,"153,207",435
"Bibb County, GA",13021,"153,095",436
"Kings County, CA",6031,"151,366",437
"Johnson County, IA",19103,"151,260",438
"Merrimack, NH",33013,"151,132",439
"Penobscot County, ME",23019,"151,096",440
"Cumberland County, NJ",34011,"150,972",441
"Washington County, MD",24043,"150,926",442
"Tolland County, CT",9013,"150,921",443
"Monroe County, MI",26115,"150,439",444
"Santa Fe County, NM",35049,"150,056",445
"Stafford County, VA",51179,"149,960",446
"Comal County, TX",48091,"148,373",447
"Citrus County, FL",12017,"147,929",448
"Scott County, MN",27139,"147,381",449
"Monroe County, IN",18105,"146,917",450
"Orange County, NC",37135,"146,027",451
"Coweta County, GA",13077,"145,864",452
"Douglas County, GA",13097,"145,331",453
"Sandoval County, NM",35043,"145,179",454
"Canadian County, OK",40017,"144,447",455
"Rock Island County, IL",17161,"143,477",456
"Randolph County, NC",37151,"143,351",457
"Jackson County, MS",28059,"143,277",458
"Coconino County, AZ",4005,"142,854",459
"Schuylkill County, PA",42107,"142,067",460
"Lebanon County, PA",42075,"141,314",461
"Rowan County, NC",37159,"141,262",462
"Sussex County, NJ",34037,"140,799",463
"Wilson County, TN",47189,"140,625",464
"Livingston Parish, LA",22063,"139,567",465
"Napa County, CA",6055,"139,417",466
"Parker County, TX",48367,"138,371",467
"Florence County, SC",45041,"138,159",468
"Taylor County, TX",48441,"137,640",469
"Campbell + Lynchburg, VA",51911,"137,099",470
"Brunswick County, NC",37019,"136,744",471
"Humboldt County, CA",6023,"136,373",472
"Wright County, MN",27171,"136,349",473
"Randall County, TX",48381,"136,271",474
"Washington, WI",55131,"135,693",475
"Marathon, WI",55073,"135,428",476
"Rockingham + Harrisonburg, VA",51947,"135,277",477
"Clark County, OH",39023,"134,585",478
"Calhoun County, MI",26025,"134,487",479
"Hampton Independent City, VA",51650,"134,313",480
"Harnett County, NC",37085,"134,214",481
"Grayson County, TX",48181,"133,991",482
"Tangipahoa Parish, LA",22105,"133,777",483
"Black Hawk County, IA",19013,"132,408",484
"Tazewell County, IL",17179,"132,328",485
"Wichita County, TX",48485,"132,064",486
"Robeson County, NC",37155,"131,831",487
"Cambria County, PA",42021,"131,730",488
"Boone County, KY",21015,"131,533",489
"Blount County, TN",47009,"131,349",490
"Warren County, KY",21227,"131,264",491
"Wood County, OH",39173,"130,696",492
"Rapides Parish, LA",22079,"130,562",493
"Fayette County, PA",42051,"130,441",494
"Strafford, NH",33017,"130,090",495
"Madison County, IN",18095,"129,641",496
"Sumter County, FL",12119,"128,754",497
"Kaufman County, TX",48257,"128,622",498
"Washington County, TN",47179,"128,607",499
"Skagit County, WA",53057,"128,206",500
"Chautauqua County, NY",36013,"127,939",501
"Kendall County, IL",17093,"127,915",502
"Sebastian County, AR",5131,"127,753",503
"Linn County, OR",41043,"127,335",504
"Clarke County, GA",13059,"127,330",505
"Bossier Parish, LA",22015,"127,185",506
"Cache County, UT",49005,"127,068",507
"Cochise County, AZ",4003,"126,770",508
"Berkshire County, MA",25003,"126,348",509
"Washington County, RI",44009,"126,179",510
"San Juan County, NM",35045,"125,043",511
"Pickens County, SC",45077,"124,937",512
"Faulkner County, AR",5045,"124,806",513
"Hunterdon County, NJ",34019,"124,714",514
"Ascension Parish, LA",22005,"124,672",515
"Gregg County, TX",48183,"123,707",516
"Wayne County, NC",37191,"123,248",517
"Augusta, Staunton + Waynesboro, VA",51907,"123,007",518
"Blair County, PA",42013,"122,492",519
"Kennebec County, ME",23011,"122,083",520
"Douglas County, KS",20045,"121,436",521
"Saline County, AR",5125,"121,421",522
"Richland County, OH",39139,"121,099",523
"Jasper County, MO",29097,"120,636",524
"Comanche County, OK",40031,"120,422",525
"Roanoke + Salem, VA",51944,"119,716",526
"Potter County, TX",48375,"119,648",527
