County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Morrison County, MN",27097,89.60%,1125,,,,
"Crawford County, OH",39033,89.60%,1125,,,,
"Murray County, MN",27101,89.60%,1125,,,,
"Athens County, OH",39009,89.60%,1125,,,,
"Whiteside County, IL",17195,89.60%,1125,,,,
"Howard County, IA",19089,89.60%,1125,,,,
"Henderson County, IL",17071,89.60%,1125,,,,
"Miami County, OH",39109,89.60%,1125,,,,
"Kenton County, KY",21117,89.60%,1125,,,,
"Polk County, NC",37149,89.60%,1125,,,,
"Indiana County, PA",42063,89.60%,1125,,,,
"Carbon County, PA",42025,89.60%,1125,,,,
"Racine, WI",55101,89.60%,1125,,,,
"Ford County, IL",17053,89.60%,1125,,,,
"Decatur County, IN",18031,89.60%,1125,,,,
"Darke County, OH",39037,89.50%,1156,,,,
"St. Tammany Parish, LA",22103,89.50%,1156,,,,
"Lorain County, OH",39093,89.50%,1156,,,,
"Petersburg Borough, AK",2195,89.50%,1156,,,,
"Berrien County, MI",26021,89.50%,1156,,,,
"Coos County, OR",41011,89.50%,1156,,,,
"Miner County, SD",46097,89.50%,1156,,,,
"Wayne County, PA",42127,89.50%,1156,,,,
"Lycoming County, PA",42081,89.50%,1156,,,,
"Sandusky County, OH",39143,89.50%,1156,,,,
"Talbot County, MD",24041,89.50%,1156,,,,
"Allegany County, MD",24001,89.50%,1156,,,,
"Lafayette County, MS",28071,89.50%,1156,,,,
"Delaware County, IN",18035,89.50%,1156,,,,
"Benton County, IN",18007,89.50%,1156,,,,
"Vanderburgh County, IN",18163,89.50%,1156,,,,
"Iroquois County, IL",17075,89.50%,1156,,,,
"Niobrara County, WY",56027,89.50%,1156,,,,
"Henderson County, NC",37089,89.50%,1156,,,,
"Columbia County, NY",36021,89.40%,1175,,,,
"Deer Lodge County, MT",30023,89.40%,1175,,,,
"Noble County, OK",40103,89.40%,1175,,,,
"Lincoln County, OR",41041,89.40%,1175,,,,
"Cass County, IA",19029,89.40%,1175,,,,
"Pine County, MN",27115,89.40%,1175,,,,
"Tripp County, SD",46123,89.40%,1175,,,,
"Douglas County, OR",41019,89.40%,1175,,,,
"Parker County, TX",48367,89.40%,1175,,,,
"Stevens County, WA",53065,89.40%,1175,,,,
"Maury County, TN",47119,89.40%,1175,,,,
"Churchill County, NV",32001,89.40%,1175,,,,
"DeSoto County, MS",28033,89.40%,1175,,,,
"Fairfield County, CT",9001,89.40%,1175,,,,
"Kanabec County, MN",27065,89.40%,1175,,,,
"Pleasants County, WV",54073,89.40%,1175,,,,
"Clay County, TX",48077,89.40%,1175,,,,
"Floyd County, IN",18043,89.40%,1175,,,,
"Allegany County, NY",36003,89.40%,1175,,,,
"Essex County, MA",25009,89.40%,1175,,,,
"Hartford County, CT",9003,89.40%,1175,,,,
"Preble County, OH",39135,89.40%,1175,,,,
"Allen County, IN",18003,89.40%,1175,,,,
"Wadena County, MN",27159,89.40%,1175,,,,
"Jefferson County, AL",1073,89.40%,1175,,,,
"Duval County, FL",12031,89.40%,1175,,,,
"Nelson County, KY",21179,89.40%,1175,,,,
"Clearwater County, ID",16035,89.40%,1175,,,,
"Armstrong County, PA",42005,89.30%,1203,,,,
"Skagit County, WA",53057,89.30%,1203,,,,
"Chatham County, GA",13051,89.30%,1203,,,,
"Siskiyou County, CA",6093,89.30%,1203,,,,
"Phillips County, CO",8095,89.30%,1203,,,,
"Steuben County, IN",18151,89.30%,1203,,,,
"Wayne County, IA",19185,89.30%,1203,,,,
"Montrose County, CO",8085,89.30%,1203,,,,
"Hocking County, OH",39073,89.30%,1203,,,,
"Macomb County, MI",26099,89.30%,1203,,,,
"Livingston County, IL",17105,89.30%,1203,,,,
"Linn County, KS",20107,89.30%,1203,,,,
"Horry County, SC",45051,89.30%,1203,,,,
"Alger County, MI",26003,89.30%,1203,,,,
"Tuscola County, MI",26157,89.30%,1203,,,,
"Jackson County, OR",41029,89.30%,1203,,,,
"Pitt County, NC",37147,89.30%,1203,,,,
"Middlesex County, NJ",34023,89.30%,1203,,,,
"Newport News Independent City, VA",51700,89.30%,1203,,,,
"Wexford County, MI",26165,89.30%,1203,,,,
"Harrison County, IN",18061,89.20%,1223,,,,
"Henry County, IL",17073,89.20%,1223,,,,
"Monroe County, PA",42089,89.20%,1223,,,,
"Franklin County, IA",19069,89.20%,1223,,,,
"Jefferson County, PA",42065,89.20%,1223,,,,
"Dodge County, NE",31053,89.20%,1223,,,,
"Clay County, NC",37043,89.20%,1223,,,,
"Ralls County, MO",29173,89.20%,1223,,,,
"Lexington County, SC",45063,89.20%,1223,,,,
"Luzerne County, PA",42079,89.20%,1223,,,,
"Logan County, IL",17107,89.20%,1223,,,,
"Montgomery County, KS",20125,89.20%,1223,,,,
"Mora County, NM",35033,89.20%,1223,,,,
"Adams County, ID",16003,89.10%,1236,,,,
"Bond County, IL",17005,89.10%,1236,,,,
"Bay County, FL",12005,89.10%,1236,,,,
"Cabarrus County, NC",37025,89.10%,1236,,,,
"Josephine County, OR",41033,89.10%,1236,,,,
"Sedgwick County, KS",20173,89.10%,1236,,,,
"Swift County, MN",27151,89.10%,1236,,,,
"Perkins County, NE",31135,89.10%,1236,,,,
"Washington County, TN",47179,89.10%,1236,,,,
"Brunswick County, NC",37019,89.10%,1236,,,,
"Harris County, GA",13145,89.10%,1236,,,,
"Sanders County, MT",30089,89.10%,1236,,,,
"Sanpete County, UT",49039,89.10%,1236,,,,
"Marion County, WV",54049,89.10%,1236,,,,
"Garrett County, MD",24023,89.10%,1236,,,,
"Contra Costa County, CA",6013,89.10%,1236,,,,
"Clinton County, IL",17027,89.10%,1236,,,,
"White County, IN",18181,89.10%,1236,,,,
"Livingston County, NY",36051,89.10%,1236,,,,
"Towns County, GA",13281,89.10%,1236,,,,
"Rice County, KS",20159,89.10%,1236,,,,
"York County, SC",45091,89.10%,1236,,,,
"Cuyahoga County, OH",39035,89.10%,1236,,,,
"Orange County, TX",48361,89.10%,1236,,,,
"Daviess County, KY",21059,89.10%,1236,,,,
"Chase County, NE",31029,89.10%,1236,,,,
"Bradford County, PA",42015,89.10%,1236,,,,
"Lyon County, KS",20111,89.10%,1236,,,,
"York County, PA",42133,89.10%,1236,,,,
"Tulsa County, OK",40143,89.00%,1265,,,,
"Hettinger County, ND",38041,89.00%,1265,,,,
"Furnas County, NE",31065,89.00%,1265,,,,
"Gentry County, MO",29075,89.00%,1265,,,,
"Hardin County, OH",39065,89.00%,1265,,,,
"Allen County, OH",39003,89.00%,1265,,,,
"Jefferson County, IN",18077,89.00%,1265,,,,
"Hays County, TX",48209,89.00%,1265,,,,
"Lawrence County, IN",18093,89.00%,1265,,,,
"Trumbull County, OH",39155,89.00%,1265,,,,
"Ogle County, IL",17141,89.00%,1265,,,,
"Powell County, MT",30077,89.00%,1265,,,,
"Clarion County, PA",42031,89.00%,1265,,,,
"Tipton County, IN",18159,89.00%,1265,,,,
"Coweta County, GA",13077,89.00%,1265,,,,
"Wrangell Borough, AK",2275,89.00%,1265,,,,
"Pike County, GA",13231,89.00%,1265,,,,
"Clay County, IL",17025,89.00%,1265,,,,
"San Mateo County, CA",6081,88.90%,1283,,,,
"Hood County, TX",48221,88.90%,1283,,,,
"Mackinac County, MI",26097,88.90%,1283,,,,
"Gilliam County, OR",41021,88.90%,1283,,,,
"Vernon County, MO",29217,88.90%,1283,,,,
"Delta County, CO",8029,88.90%,1283,,,,
"Lee County, IL",17103,88.90%,1283,,,,
"Dickey County, ND",38021,88.90%,1283,,,,
"Caldwell County, KY",21033,88.90%,1283,,,,
"Woodford County, KY",21239,88.90%,1283,,,,
"Manatee County, FL",12081,88.90%,1283,,,,
"Marion County, IL",17121,88.90%,1283,,,,
"Branch County, MI",26023,88.90%,1283,,,,
"Christian County, IL",17021,88.90%,1283,,,,
"Santa Fe County, NM",35049,88.90%,1283,,,,
"Harper County, KS",20077,88.90%,1283,,,,
"Howard County, IN",18067,88.90%,1283,,,,
"Big Stone County, MN",27011,88.90%,1283,,,,
"Guilford County, NC",37081,88.90%,1283,,,,
"Washita County, OK",40149,88.90%,1283,,,,
"Taney County, MO",29213,88.90%,1283,,,,
"Lee County, GA",13177,88.90%,1283,,,,
"Donley County, TX",48129,88.80%,1305,,,,
"Bossier Parish, LA",22015,88.80%,1305,,,,
"Boyd County, KY",21019,88.80%,1305,,,,
"Foster County, ND",38031,88.80%,1305,,,,
"Glacier County, MT",30035,88.80%,1305,,,,
"Saginaw County, MI",26145,88.80%,1305,,,,
"Prince William County, VA",51153,88.80%,1305,,,,
"Renville County, MN",27129,88.80%,1305,,,,
"Cooper County, MO",29053,88.80%,1305,,,,
"Mason County, TX",48319,88.80%,1305,,,,
"Huntingdon County, PA",42061,88.80%,1305,,,,
"Spencer County, KY",21215,88.80%,1305,,,,
"Jefferson County, WV",54037,88.80%,1305,,,,
"Pueblo County, CO",8101,88.80%,1305,,,,
"Madison County, TN",47113,88.80%,1305,,,,
"Rock Island County, IL",17161,88.80%,1305,,,,
"Bon Homme County, SD",46009,88.80%,1305,,,,
"Tyler County, WV",54095,88.80%,1305,,,,
"Travis County, TX",48453,88.80%,1305,,,,
"Cecil County, MD",24015,88.80%,1305,,,,
"Lafayette County, MO",29107,88.80%,1305,,,,
"Camden County, MO",29029,88.80%,1305,,,,
"Platte County, NE",31141,88.80%,1305,,,,
"Mason County, IL",17125,88.80%,1305,,,,
"Butte County, CA",6007,88.80%,1305,,,,
"Huron County, MI",26063,88.70%,1330,,,,
"Iredell County, NC",37097,88.70%,1330,,,,
"Sullivan County, PA",42113,88.70%,1330,,,,
"La Salle County, IL",17099,88.70%,1330,,,,
"Wabash County, IN",18169,88.70%,1330,,,,
"Pulaski County, IN",18131,88.70%,1330,,,,
"Woods County, OK",40151,88.70%,1330,,,,
"Richmond County, NY",36085,88.70%,1330,,,,
"Clinton County, OH",39027,88.70%,1330,,,,
"Oliver County, ND",38065,88.70%,1330,,,,
"Susquehanna County, PA",42115,88.70%,1330,,,,
"DeKalb County, GA",13089,88.70%,1330,,,,
"Jasper County, IL",17079,88.70%,1330,,,,
"Vernon, WI",55123,88.70%,1330,,,,
"Pasco County, FL",12101,88.70%,1330,,,,
"Henry County, IN",18065,88.70%,1330,,,,
"Union County, GA",13291,88.70%,1330,,,,
"Blount County, TN",47009,88.70%,1330,,,,
"Marquette, WI",55077,88.70%,1330,,,,
"Pontotoc County, OK",40123,88.70%,1330,,,,
"Grays Harbor County, WA",53027,88.70%,1330,,,,
"Hamilton County, TN",47065,88.70%,1330,,,,
"Schoharie County, NY",36095,88.70%,1330,,,,
"Blaine County, ID",16013,88.70%,1330,,,,
"Roscommon County, MI",26143,88.70%,1330,,,,
"Lampasas County, TX",48281,88.70%,1330,,,,
"Inyo County, CA",6027,88.60%,1356,,,,
"Blaine County, MT",30005,88.60%,1356,,,,
"Suffolk Independent City, VA",51800,88.60%,1356,,,,
"Marshall County, MN",27089,88.60%,1356,,,,
"Carroll County, IN",18015,88.60%,1356,,,,
"Wayne County, UT",49055,88.60%,1356,,,,
"Lake County, FL",12069,88.60%,1356,,,,
"Cumberland County, IL",17035,88.60%,1356,,,,
"Rappahannock County, VA",51157,88.60%,1356,,,,
"Lucas County, OH",39095,88.60%,1356,,,,
"Orange County, VA",51137,88.60%,1356,,,,
"Broward County, FL",12011,88.60%,1356,,,,
"Colfax County, NM",35007,88.60%,1356,,,,
"Watauga County, NC",37189,88.60%,1356,,,,
"Adams County, PA",42001,88.60%,1356,,,,
"Walworth County, SD",46129,88.60%,1356,,,,
"Greeley County, KS",20071,88.60%,1356,,,,
"Wicomico County, MD",24045,88.60%,1356,,,,
"Madison County, NE",31119,88.60%,1356,,,,
"Edgar County, IL",17045,88.60%,1356,,,,
"Green Lake, WI",55047,88.50%,1376,,,,
"Cowlitz County, WA",53015,88.50%,1376,,,,
"Washakie County, WY",56043,88.50%,1376,,,,
"Kodiak Island Borough, AK",2150,88.50%,1376,,,,
"Forsyth County, NC",37067,88.50%,1376,,,,
"Chautauqua County, NY",36013,88.50%,1376,,,,
"Eddy County, ND",38027,88.50%,1376,,,,
"Clark County, IN",18019,88.50%,1376,,,,
"McClain County, OK",40087,88.50%,1376,,,,
"Lonoke County, AR",5085,88.50%,1376,,,,
"Presque Isle County, MI",26141,88.50%,1376,,,,
"Stafford County, KS",20185,88.50%,1376,,,,
"Luce County, MI",26095,88.50%,1376,,,,
"Taylor, WI",55119,88.50%,1376,,,,
"Kandiyohi County, MN",27067,88.50%,1376,,,,
"Walla Walla County, WA",53071,88.50%,1376,,,,
"Fountain County, IN",18045,88.50%,1376,,,,
"Jackson, WI",55053,88.50%,1376,,,,
"Cameron County, PA",42023,88.50%,1376,,,,
"Bernalillo County, NM",35001,88.50%,1376,,,,
"Dubois County, IN",18037,88.50%,1376,,,,
"Chariton County, MO",29041,88.50%,1376,,,,
"Perry County, MO",29157,88.40%,1398,,,,
"Indian River County, FL",12061,88.40%,1398,,,,
"Dixon County, NE",31051,88.40%,1398,,,,
"Camden County, NJ",34007,88.40%,1398,,,,
"Schuyler County, IL",17169,88.40%,1398,,,,
"Alcona County, MI",26001,88.40%,1398,,,,
"Lewis County, MO",29111,88.40%,1398,,,,
"Ashland County, OH",39005,88.40%,1398,,,,
"Hayes County, NE",31085,88.40%,1398,,,,
"Calloway County, KY",21035,88.40%,1398,,,,
"Union County, IN",18161,88.40%,1398,,,,
"Woodson County, KS",20207,88.40%,1398,,,,
"Divide County, ND",38023,88.40%,1398,,,,
"Washington County, NY",36115,88.40%,1398,,,,
"Cattaraugus County, NY",36009,88.40%,1398,,,,
"Grady County, OK",40051,88.40%,1398,,,,
"Ascension Parish, LA",22005,88.40%,1398,,,,
"Crawford County, MI",26039,88.40%,1398,,,,
"Windham County, CT",9015,88.40%,1398,,,,
"North Slope Borough, AK",2185,88.40%,1398,,,,
"McCook County, SD",46087,88.30%,1418,,,,
"Marion County, MO",29127,88.30%,1418,,,,
"Yamhill County, OR",41071,88.30%,1418,,,,
"Jones County, GA",13169,88.30%,1418,,,,
"Berkeley County, SC",45015,88.30%,1418,,,,
"Buchanan County, MO",29021,88.30%,1418,,,,
"Crawford County, PA",42039,88.30%,1418,,,,
"Aleutians West Borough, AK",2016,88.30%,1418,,,,
"Schuylkill County, PA",42107,88.30%,1418,,,,
"Craighead County, AR",5031,88.30%,1418,,,,
"Wyoming County, NY",36121,88.30%,1418,,,,
"Kanawha County, WV",54039,88.30%,1418,,,,
"Ohio County, IN",18115,88.30%,1418,,,,
"Howard County, MO",29089,88.30%,1418,,,,
"Hancock County, WV",54029,88.30%,1418,,,,
"McCracken County, KY",21145,88.30%,1418,,,,
"Coos, NH",33007,88.30%,1418,,,,
"Slope County, ND",38087,88.30%,1418,,,,
"Pawnee County, OK",40117,88.20%,1436,,,,
"Jefferson County, MO",29099,88.20%,1436,,,,
"Douglas County, GA",13097,88.20%,1436,,,,
"Morris County, TX",48343,88.20%,1436,,,,
"Putnam County, IN",18133,88.20%,1436,,,,
"Pike County, IL",17149,88.20%,1436,,,,
"Anderson County, KY",21005,88.20%,1436,,,,
"Bland County, VA",51021,88.20%,1436,,,,
"Radford Independent City, VA",51750,88.20%,1436,,,,
"Garland County, AR",5051,88.20%,1436,,,,
"Grayson County, TX",48181,88.20%,1436,,,,
"Lincoln County, NV",32017,88.20%,1436,,,,
"St. Charles Parish, LA",22089,88.20%,1436,,,,
"Ray County, MO",29177,88.20%,1436,,,,
"Knox County, IN",18083,88.20%,1436,,,,
"Harrison County, WV",54033,88.20%,1436,,,,
"Coryell County, TX",48099,88.20%,1436,,,,
"Guadalupe County, TX",48187,88.20%,1436,,,,
"Roberts County, SD",46109,88.20%,1436,,,,
"Carroll County, OH",39019,88.20%,1436,,,,
"Clark County, AR",5019,88.20%,1436,,,,
"Orange County, FL",12095,88.20%,1436,,,,
"Pima County, AZ",4019,88.20%,1436,,,,
"Lehigh County, PA",42077,88.20%,1436,,,,
"Tuscaloosa County, AL",1125,88.20%,1436,,,,
"Schuyler County, MO",29197,88.20%,1436,,,,
"Berkeley County, WV",54003,88.20%,1436,,,,
"Morris County, KS",20127,88.20%,1436,,,,
"Osage County, OK",40113,88.20%,1436,,,,
"Lincoln Parish, LA",22061,88.20%,1436,,,,
"Warren County, KY",21227,88.20%,1436,,,,
"Hillsborough County, FL",12057,88.20%,1436,,,,
"Frederick County, VA",51069,88.20%,1436,,,,
"Missaukee County, MI",26113,88.10%,1469,,,,
"Shelby County, IN",18145,88.10%,1469,,,,
"Big Horn County, MT",30003,88.10%,1469,,,,
"Kerr County, TX",48265,88.10%,1469,,,,
"Oktibbeha County, MS",28105,88.10%,1469,,,,
"Linn County, MO",29115,88.10%,1469,,,,
"Glynn County, GA",13127,88.10%,1469,,,,
"Montcalm County, MI",26117,88.10%,1469,,,,
"St. Lawrence County, NY",36089,88.10%,1469,,,,
"Oneida County, NY",36065,88.10%,1469,,,,
"Kingfisher County, OK",40073,88.10%,1469,,,,
"Palm Beach County, FL",12099,88.10%,1469,,,,
"Lake County, IN",18089,88.10%,1469,,,,
"Middlesex County, VA",51119,88.10%,1469,,,,
"Logan County, CO",8075,88.00%,1483,,,,
"Davidson County, TN",47037,88.00%,1483,,,,
"Pembina County, ND",38067,88.00%,1483,,,,
"Garfield County, OK",40047,88.00%,1483,,,,
"Jackson County, NC",37099,88.00%,1483,,,,
"Potter County, PA",42105,88.00%,1483,,,,
"Cass County, MI",26027,88.00%,1483,,,,
"Galveston County, TX",48167,88.00%,1483,,,,
"Knox County, IL",17095,88.00%,1483,,,,
"Ripley County, IN",18137,88.00%,1483,,,,
"Lynchburg Independent City, VA",51680,88.00%,1483,,,,
"Kankakee County, IL",17091,87.90%,1494,,,,
"Lincoln County, MO",29113,87.90%,1494,,,,
"Woodward County, OK",40153,87.90%,1494,,,,
"Morgan County, IN",18109,87.90%,1494,,,,
"Henry County, MO",29083,87.90%,1494,,,,
"Fayette County, PA",42051,87.90%,1494,,,,
"Lewis County, WV",54041,87.90%,1494,,,,
"Mercer County, MO",29129,87.90%,1494,,,,
"Oldham County, TX",48359,87.90%,1494,,,,
"Fremont County, ID",16043,87.90%,1494,,,,
"San Francisco County, CA",6075,87.90%,1494,,,,
"Perry County, IN",18123,87.90%,1494,,,,
"Monroe County, OH",39111,87.90%,1494,,,,
"Crook County, OR",41013,87.90%,1494,,,,
"St. Joseph County, IN",18141,87.90%,1494,,,,
"Lincoln County, MT",30053,87.90%,1494,,,,
"Warren County, IL",17187,87.90%,1494,,,,
"Morrow County, OH",39117,87.90%,1494,,,,
"Taylor County, WV",54091,87.90%,1494,,,,
"LaPorte County, IN",18091,87.90%,1494,,,,
"Mercer County, NJ",34021,87.90%,1494,,,,
"Warren County, MO",29219,87.90%,1494,,,,
"Iosco County, MI",26069,87.90%,1494,,,,
"Jackson County, MS",28059,87.80%,1517,,,,
"Chenango County, NY",36017,87.80%,1517,,,,
"Sanilac County, MI",26151,87.80%,1517,,,,
"Macon County, MO",29121,87.80%,1517,,,,
"Jefferson County, ID",16051,87.80%,1517,,,,
"Baylor County, TX",48023,87.80%,1517,,,,
"Vigo County, IN",18167,87.80%,1517,,,,
"Lincoln County, CO",8073,87.80%,1517,,,,
"Meade County, KY",21163,87.80%,1517,,,,
"Washington County, ME",23029,87.80%,1517,,,,
"Wilson County, KS",20205,87.80%,1517,,,,
"Mason County, WA",53045,87.80%,1517,,,,
"Elmore County, ID",16039,87.80%,1517,,,,
"Haywood County, NC",37087,87.80%,1517,,,,
"Somerset County, PA",42111,87.80%,1517,,,,
"Hillsdale County, MI",26059,87.80%,1517,,,,
"Hamilton County, NY",36041,87.80%,1517,,,,
"Hernando County, FL",12053,87.80%,1517,,,,
"Somerset County, ME",23025,87.70%,1535,,,,
"Gem County, ID",16045,87.70%,1535,,,,
"Durham County, NC",37063,87.70%,1535,,,,
"Cherokee County, KS",20021,87.70%,1535,,,,
"Worth County, MO",29227,87.70%,1535,,,,
"Franklin County, MO",29071,87.70%,1535,,,,
"Reno County, KS",20155,87.70%,1535,,,,
"Delaware County, NY",36025,87.70%,1535,,,,
"Blackford County, IN",18009,87.70%,1535,,,,
"Lake and Peninsula Borough, AK",2164,87.70%,1535,,,,
"Autauga County, AL",1001,87.70%,1535,,,,
"Weld County, CO",8123,87.70%,1535,,,,
"Ellis County, OK",40045,87.70%,1535,,,,
"Johnson County, NE",31097,87.70%,1535,,,,
"Clinton County, PA",42035,87.70%,1535,,,,
"Sonoma County, CA",6097,87.70%,1535,,,,
"Richland County, IL",17159,87.70%,1535,,,,
"Perry County, PA",42099,87.70%,1535,,,,
"Craven County, NC",37049,87.70%,1535,,,,
"Twin Falls County, ID",16083,87.70%,1535,,,,
"Jasper County, IN",18073,87.70%,1535,,,,
"Madison County, IN",18095,87.70%,1535,,,,
"Aroostook County, ME",23003,87.60%,1557,,,,
"Hardin County, TX",48199,87.60%,1557,,,,
"Cabell County, WV",54011,87.60%,1557,,,,
"Polk County, MO",29167,87.60%,1557,,,,
"Aurora County, SD",46003,87.60%,1557,,,,
"Chautauqua County, KS",20019,87.60%,1557,,,,
"Cayuga County, NY",36011,87.60%,1557,,,,
"Dade County, MO",29057,87.60%,1557,,,,
"Gasconade County, MO",29073,87.60%,1557,,,,
"Shelby County, TN",47157,87.60%,1557,,,,
"Montgomery County, TX",48339,87.60%,1557,,,,
"Montmorency County, MI",26119,87.60%,1557,,,,
"Westchester County, NY",36119,87.60%,1557,,,,
"Solano County, CA",6095,87.60%,1557,,,,
"Van Buren County, IA",19177,87.60%,1557,,,,
"Washoe County, NV",32031,87.60%,1557,,,,
"Barton County, KS",20009,87.60%,1557,,,,
"Forest, WI",55041,87.60%,1557,,,,
"Franklin County, IN",18047,87.60%,1557,,,,
"Orleans County, VT",50019,87.60%,1557,,,,
"Rosebud County, MT",30087,87.60%,1557,,,,
"Fulton County, IL",17057,87.60%,1557,,,,
"Newton County, TX",48351,87.60%,1557,,,,
"Currituck County, NC",37053,87.60%,1557,,,,
"Isle of Wight County, VA",51093,87.60%,1557,,,,
"Santa Clara County, CA",6085,87.60%,1557,,,,
"Brazoria County, TX",48039,87.50%,1583,,,,
"Norfolk Independent City, VA",51710,87.50%,1583,,,,
"Macon County, NC",37113,87.50%,1583,,,,
"Alameda County, CA",6001,87.50%,1583,,,,
"Wakulla County, FL",12129,87.50%,1583,,,,
"Vernon Parish, LA",22115,87.50%,1583,,,,
"Columbiana County, OH",39029,87.50%,1583,,,,
"Union County, IL",17181,87.50%,1583,,,,
"Benton County, AR",5007,87.50%,1583,,,,
"Osceola County, MI",26133,87.50%,1583,,,,
"Gwinnett County, GA",13135,87.50%,1583,,,,
"Transylvania County, NC",37175,87.50%,1583,,,,
"Klickitat County, WA",53039,87.50%,1583,,,,
"Bath County, VA",51017,87.50%,1583,,,,
"Taos County, NM",35055,87.50%,1583,,,,
"Pacific County, WA",53049,87.50%,1583,,,,
"Lewis County, WA",53041,87.50%,1583,,,,
"Garfield County, CO",8045,87.50%,1583,,,,
"Huron County, OH",39077,87.50%,1583,,,,
"Gregory County, SD",46053,87.50%,1583,,,,
"Gallatin County, IL",17059,87.40%,1603,,,,
"Duchesne County, UT",49013,87.40%,1603,,,,
"Bowie County, TX",48037,87.40%,1603,,,,
"Wapello County, IA",19179,87.40%,1603,,,,
"Winnebago County, IL",17201,87.40%,1603,,,,
"Pickaway County, OH",39129,87.40%,1603,,,,
"Milwaukee, WI",55079,87.40%,1603,,,,
"Stewart County, TN",47161,87.40%,1603,,,,
"Osceola County, IA",19143,87.40%,1603,,,,
"Muscogee County, GA",13215,87.40%,1603,,,,
"Citrus County, FL",12017,87.40%,1603,,,,
"Kent County, DE",10001,87.40%,1603,,,,
"Klamath County, OR",41035,87.40%,1603,,,,
"Kalawao County, HI",15005,87.30%,1616,,,,
"Lee County, FL",12071,87.30%,1616,,,,
"Kent County, MD",24029,87.30%,1616,,,,
"Bullitt County, KY",21029,87.30%,1616,,,,
"Franklin County, KY",21073,87.30%,1616,,,,
"Van Buren County, MI",26159,87.30%,1616,,,,
"Chatham County, NC",37037,87.30%,1616,,,,
"Barton County, MO",29011,87.30%,1616,,,,
"Baxter County, AR",5005,87.30%,1616,,,,
"Las Animas County, CO",8071,87.30%,1616,,,,
"Moore County, TN",47127,87.30%,1616,,,,
"Rockland County, NY",36087,87.30%,1616,,,,
"Taylor County, TX",48441,87.30%,1616,,,,
"Ste. Genevieve County, MO",29186,87.30%,1616,,,,
"Burnet County, TX",48053,87.30%,1616,,,,
"Davie County, NC",37059,87.30%,1616,,,,
"Charles Mix County, SD",46023,87.30%,1616,,,,
"Greenville County, SC",45045,87.30%,1616,,,,
"Walsh County, ND",38099,87.30%,1616,,,,
"Cleveland County, AR",5025,87.30%,1616,,,,
"Franklin County, IL",17055,87.20%,1636,,,,
"Adams, WI",55001,87.20%,1636,,,,
"Vermilion County, IL",17183,87.20%,1636,,,,
"Labette County, KS",20099,87.20%,1636,,,,
"Clark County, OH",39023,87.20%,1636,,,,
"Scotts Bluff County, NE",31157,87.20%,1636,,,,
"Alfalfa County, OK",40003,87.20%,1636,,,,
"Warren County, MS",28149,87.20%,1636,,,,
"Muskingum County, OH",39119,87.20%,1636,,,,
"DeBaca County, NM",35011,87.20%,1636,,,,
"Grant County, NM",35017,87.20%,1636,,,,
"Custer County, OK",40039,87.10%,1647,,,,
"Marion County, OH",39101,87.10%,1647,,,,
"Fulton County, PA",42057,87.10%,1647,,,,
"Callahan County, TX",48059,87.10%,1647,,,,
"Franklin County, PA",42055,87.10%,1647,,,,
"Newton County, MO",29145,87.10%,1647,,,,
"Maricopa County, AZ",4013,87.10%,1647,,,,
"Major County, OK",40093,87.10%,1647,,,,
"Hutchinson County, SD",46067,87.10%,1647,,,,
"Fayette County, OH",39047,87.10%,1647,,,,
"Jasper County, MO",29097,87.10%,1647,,,,
"Cochise County, AZ",4003,87.10%,1647,,,,
"Cuming County, NE",31039,87.10%,1647,,,,
"Juneau, WI",55057,87.10%,1647,,,,
"Salem County, NJ",34033,87.10%,1647,,,,
"DeKalb County, MO",29063,87.10%,1647,,,,
"Rusk, WI",55107,87.00%,1663,,,,
"Columbia County, FL",12023,87.00%,1663,,,,
"Greene County, IN",18055,87.00%,1663,,,,
"Morrill County, NE",31123,87.00%,1663,,,,
"Carson City County, NV",32510,87.00%,1663,,,,
"Fayette County, TN",47047,87.00%,1663,,,,
"Madison County, VA",51113,87.00%,1663,,,,
"Sacramento County, CA",6067,87.00%,1663,,,,
"Livingston County, MO",29117,87.00%,1663,,,,
"Effingham County, GA",13103,87.00%,1663,,,,
"Muscatine County, IA",19139,87.00%,1663,,,,
"Nowata County, OK",40105,87.00%,1663,,,,
"Wayne County, IL",17191,87.00%,1663,,,,
"Grant County, IN",18053,87.00%,1663,,,,
"Harrison County, MS",28047,87.00%,1663,,,,
"Todd County, MN",27153,87.00%,1663,,,,
"Bedford County, PA",42009,87.00%,1663,,,,
"Giles County, VA",51071,87.00%,1663,,,,
"Washington County, MD",24043,87.00%,1663,,,,
"Lafayette Parish, LA",22055,87.00%,1663,,,,
"Ferry County, WA",53019,87.00%,1663,,,,
"Franklin County, TX",48159,87.00%,1663,,,,
"Fulton County, NY",36035,87.00%,1663,,,,
"Bandera County, TX",48019,87.00%,1663,,,,
"Oswego County, NY",36075,86.90%,1687,,,,
"Richland County, OH",39139,86.90%,1687,,,,
"Rockdale County, GA",13247,86.90%,1687,,,,
"Jackson County, IN",18071,86.90%,1687,,,,
"Orleans County, NY",36073,86.90%,1687,,,,
"Greenup County, KY",21089,86.90%,1687,,,,
"Mendocino County, CA",6045,86.90%,1687,,,,
"Lebanon County, PA",42075,86.90%,1687,,,,
