County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Nemaha County, NE",31127,93.90%,202,,,,
"Carbon County, MT",30009,93.90%,202,,,,
"Grand Isle County, VT",50013,93.80%,215,,,,
"Fergus County, MT",30027,93.80%,215,,,,
"Kane County, UT",49025,93.80%,215,,,,
"Door, WI",55029,93.80%,215,,,,
"Boone County, NE",31011,93.80%,215,,,,
"Buffalo County, NE",31019,93.80%,215,,,,
"Dickinson County, MI",26043,93.80%,215,,,,
"Irion County, TX",48235,93.80%,215,,,,
"Custer County, SD",46033,93.80%,215,,,,
"Goodhue County, MN",27049,93.80%,215,,,,
"Outagamie, WI",55087,93.80%,215,,,,
"Calvert County, MD",24009,93.80%,215,,,,
"Thurston County, WA",53067,93.80%,215,,,,
"Kalamazoo County, MI",26077,93.80%,215,,,,
"Boone County, IA",19015,93.80%,215,,,,
"Lawrence County, SD",46081,93.80%,215,,,,
"King George County, VA",51099,93.80%,215,,,,
"Adams County, IA",19003,93.80%,215,,,,
"Bear Lake County, ID",16007,93.80%,215,,,,
"Midland County, MI",26111,93.70%,234,,,,
"Oakland County, MI",26125,93.70%,234,,,,
"Summit County, UT",49043,93.70%,234,,,,
"Boone County, IN",18011,93.70%,234,,,,
"Burleigh County, ND",38015,93.70%,234,,,,
"Stafford County, VA",51179,93.70%,234,,,,
"Pope County, MN",27121,93.70%,234,,,,
"Bucks County, PA",42017,93.70%,234,,,,
"El Paso County, CO",8041,93.70%,234,,,,
"Knox County, ME",23013,93.70%,234,,,,
"Anoka County, MN",27003,93.70%,234,,,,
"Iron, WI",55051,93.70%,234,,,,
"Rock County, NE",31149,93.70%,234,,,,
"Custer County, CO",8027,93.70%,234,,,,
"Washington County, VT",50023,93.70%,234,,,,
"Hamilton County, NE",31081,93.60%,249,,,,
"Posey County, IN",18129,93.60%,249,,,,
"Collin County, TX",48085,93.60%,249,,,,
"St. Louis County, MN",27137,93.60%,249,,,,
"Douglas, WI",55031,93.60%,249,,,,
"Hendricks County, IN",18063,93.60%,249,,,,
"Treasure County, MT",30103,93.60%,249,,,,
"Ida County, IA",19093,93.60%,249,,,,
"Eaton County, MI",26045,93.60%,249,,,,
"Delta County, MI",26041,93.60%,249,,,,
"Plumas County, CA",6063,93.60%,249,,,,
"Calumet, WI",55015,93.60%,249,,,,
"San Miguel County, CO",8113,93.60%,249,,,,
"Charlevoix County, MI",26029,93.60%,249,,,,
"Westmoreland County, PA",42129,93.60%,249,,,,
"Boone County, MO",29019,93.50%,264,,,,
"Nevada County, CA",6057,93.50%,264,,,,
"Douglas County, NV",32005,93.50%,264,,,,
"Ward County, ND",38101,93.50%,264,,,,
"Centre County, PA",42027,93.50%,264,,,,
"Renville County, ND",38075,93.50%,264,,,,
"Nicollet County, MN",27103,93.50%,264,,,,
"Boise County, ID",16015,93.50%,264,,,,
"Sitka Borough, AK",2220,93.50%,264,,,,
"Pennington County, SD",46103,93.50%,264,,,,
"Oldham County, KY",21185,93.50%,264,,,,
"Portage, WI",55097,93.50%,264,,,,
"Fall River County, SD",46047,93.50%,264,,,,
"Auglaize County, OH",39011,93.50%,264,,,,
